,渠道市场营销预算,,,,,,,,,,,,,,,,,,
,,费率,第 1 个月,第 2 个月,第 3 个月,第 4 个月,第 5 个月,第 6 个月,第 7 个月,第 8 个月,第 9 个月,第 10 个月,第 11 个月,第 12 个月,,总计,,,
,预计销售总额 ￥(000),,750,200,500,"1,500","1,200","1,500","1,500","1,800","2,000","2,000","2,000","2,000",,"16,950",,,
,个人（占销售总额的百分比）,,110%,110%,110%,110%,110%,110%,110%,110%,85%,85%,85%,85%,,,,,
,人力资源 - 人数,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,
,人力资源 - 成本,,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,,300.00,,,
,佣金,0.10%,0.75,0.20,0.50,1.50,1.20,1.50,1.50,1.80,2.00,2.00,2.00,2.00,,16.95,,,
,人员总额 ￥(000),,25.75,25.20,25.50,26.50,26.20,26.50,26.50,26.80,27.00,27.00,27.00,27.00,,316.95,,,
,直接营销（占销售总额的百分比）,,100%,100%,75%,40%,33%,25%,20%,10%,5%,5%,5%,5%,,,,,
,电话营销（占直接销售的百分比）,,100%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,,,,,
,人力资源 - 人数,3,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,19.50,,,
,基础设施支持,,25,10,25,10,25,10,25,10,25,10,25,10,,210.00,,,
,佣金,0.10%,0.75,0.10,0.19,0.30,0.20,0.19,0.15,0.09,0.05,0.05,0.05,0.05,,2.16,,,
,培训,,25,10,25,10,25,10,25,10,25,10,25,10,,210.00,,,
,电话营销总额 ￥(000),,53.75,21.60,51.69,21.80,51.70,21.69,51.65,21.59,51.55,21.55,51.55,21.55,,441.66,,,
,网络营销（占直接销售的百分比）,,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,,,,,
,人力资源 - 人数,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,3.00,,,
,网站开发（一次性成本）,,500,,,,,,,,,,,,,500.00,,,
,托管,,10,10,10,10,10,10,10,10,10,10,10,10,,120.00,,,
,支持和维护,,25,,,,,,,,,,25,,,50.00,,,
,网络营销总额 ￥(000),,535.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,10.25,35.25,10.25,,673.00,,,
,直接邮件（占直接销售的百分比）,,,,,,,,,,,,,,,,,,
,人力资源 - 成本,,,,,,,,,,,,,,,0.00,,,
,材料,,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,"12,000.00",,,
,邮资,,250,250,250,250,250,250,250,250,250,250,250,250,,"3,000.00",,,
,直接邮件总额 ￥(000),,"1,250.00","1,250.00","1,250.00","1,250.00","1,250.00","1,250.00","1,250.00","1,250.00","1,250.00","1,250.00","1,250.00","1,250.00",,"15,000.00",,,
,直接营销总额 ￥(000),,"1,839.00","1,281.85","1,311.94","1,282.05","1,311.95","1,281.94","1,311.90","1,281.84","1,311.80","1,281.80","1,336.80","1,281.80",,"16,114.66",,,
,代理商/经纪人（占销售总额的百分比）,,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,,,,,
,通信,,50,50,50,50,50,50,50,50,50,50,50,50,,600.00,,,
,培训,,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,,"3,000.00",,,
,促销,,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,,"7,200.00",,,
,折扣,10.00%,7.50,2.00,5.00,15.00,12.00,15.00,15.00,18.00,20.00,20.00,20.00,20.00,,169.50,,,
,佣金（占代理商销售的百分比）,10.00%,7.50,2.00,5.00,15.00,12.00,15.00,15.00,18.00,20.00,20.00,20.00,20.00,,169.50,,,
,代理商/经纪人总额 ￥(000),,915.00,904.00,910.00,930.00,924.00,930.00,930.00,936.00,940.00,940.00,940.00,940.00,,"11,139.00",,,
,分销商（占销售总额的百分比）,,0%,0%,0%,0%,0%,15%,20%,40%,40%,40%,40%,40%,,,,,
,通信,,50,50,50,50,50,50,50,50,50,50,50,50,,600.00,,,
,培训,,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,,"3,000.00",,,
,促销,,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,,"7,200.00",,,
,佣金/折扣（占分销商销售的百分比）,15.00%,0,0,0,0,0,33.75,45,108,120,120,120,120,,666.75,,,
,分销商总额 ￥(000),,900.00,900.00,900.00,900.00,900.00,933.75,945.00,"1,008.00","1,020.00","1,020.00","1,020.00","1,020.00",,"11,466.75",,,
,零售商（占销售总额的百分比）,,0%,0%,25%,60%,67%,60%,60%,50%,30%,30%,30%,30%,,,,,
,通信,,50,50,50,50,50,50,50,50,50,50,50,50,,600.00,,,
,培训,,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,,"3,000.00",,,
,促销,,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,600.00,,"7,200.00",,,
,佣金/折扣（占零售的百分比）,10.00%,0,0,12.5,90,80.4,90,90,90,60,60,60,60,,692.90,,,
,零售商总额 ￥(000),,900.00,900.00,912.50,990.00,980.40,990.00,990.00,990.00,960.00,960.00,960.00,960.00,,"11,492.90",,,
,客户获取和保留 (CAR),,,,,,,,,,,,,,,,,,
,人力资源,,50,50,50,50,50,50,50,50,50,50,50,50,,600.00,,,
,通信,,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,,"3,000.00",,,
,促销/礼券,,600,600,600,600,600,600,600,600,600,600,600,600,,"7,200.00",,,
,CAR 总额 ￥(000),,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,,"10,800.00",,,
,其他费用,,,,,,,,,,,,,,,,,,
,旅行,,50,50,50,50,50,50,50,50,50,50,50,50,,600.00,,,
,基础设施（计算机、电话等）,,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,250.00,,"3,000.00",,,
,渠道支持,,600,600,600,600,600,600,600,600,600,600,600,600,,"7,200.00",,,
,其他费用总额 ￥(000),,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,,"10,800.00",,,
,,,,,,,,,,,,,,,,,,,
,市场营销预算总额：,,"6,379.75","5,811.05","5,859.94","5,928.55","5,942.55","5,962.19","6,003.40","6,042.64","6,058.80","6,028.80","6,083.80","6,028.80",,"72,130.26",,,